method,prune_fraction,accuracy,auroc,forgetting_score,retrain_distance
QFL-EWP,0.0,0.9,0.9683421630701642,0.5939094650205762,5.372894950299422
QFL-EWP,0.1,0.39444444444444443,0.3528879700219666,0.7615912208504801,5.225820058228403
QFL-EWP,0.2,0.34444444444444444,0.2894430805013567,0.9225788751714679,5.37675128821532
QFL-EWP,0.3,0.4111111111111111,0.3342809148468794,0.9375034293552812,5.663046336699174
QFL-EWP,0.4,0.42777777777777776,0.40961364517379506,0.8824142661179699,7.169202540622758
QFL-EWP,0.5,0.4166666666666667,0.402248352500323,0.5959945130315503,8.024950232251737
QFL-EWP,0.6,0.5,0.4476030494895981,0.456076817558299,7.883785754139944
Random Pruning,0.0,0.9,0.9683421630701642,0.5939094650205762,5.372894950299422
Random Pruning,0.1,0.49444444444444446,0.7309729939268639,0.5878737997256516,7.166546448591919
Random Pruning,0.2,0.5,0.3013309213076625,0.6236488340192043,8.24247370140689
Random Pruning,0.3,0.6722222222222223,0.7751647499676961,0.7972565157750344,8.46708079444839
Random Pruning,0.4,0.4388888888888889,0.380281690140845,0.5703155006858711,8.602058656189415
Random Pruning,0.5,0.43333333333333335,0.3995348236206228,0.9258710562414265,8.670181612864305
Random Pruning,0.6,0.5333333333333333,0.398501098333118,0.6312208504801098,8.374272550558942
Fisher-only Pruning,0.0,0.9,0.9683421630701642,0.5939094650205762,5.372894950299422
Fisher-only Pruning,0.1,0.42777777777777776,0.5106602920273937,0.9190672153635117,5.199489417278538
Fisher-only Pruning,0.2,0.46111111111111114,0.47783951414911485,0.7165980795610425,5.200097368108447
Fisher-only Pruning,0.3,0.4111111111111111,0.4158159968988241,0.6046639231824416,6.045067524734429
Fisher-only Pruning,0.4,0.4444444444444444,0.3952707068096653,0.7638957475994514,6.64540278232417
Fisher-only Pruning,0.5,0.4666666666666667,0.4625920661584184,0.4164609053497943,6.922027347580649
Fisher-only Pruning,0.6,0.4666666666666667,0.4625920661584184,0.4164609053497943,7.346898241149348
Entanglement-only Pruning,0.0,0.9,0.9683421630701642,0.5939094650205762,5.372894950299422
Entanglement-only Pruning,0.1,0.6166666666666667,0.707972606279881,0.9399176954732511,5.567086778396768
Entanglement-only Pruning,0.2,0.40555555555555556,0.4446310892880217,0.795500685871056,7.035684485353663
Entanglement-only Pruning,0.3,0.40555555555555556,0.4446310892880217,0.795500685871056,7.968140789444165
Entanglement-only Pruning,0.4,0.4888888888888889,0.5074299005039411,0.9382716049382718,9.16331531591768
Entanglement-only Pruning,0.5,0.48333333333333334,0.5120816642977128,0.8521262002743484,9.421228350007045
Entanglement-only Pruning,0.6,0.4777777777777778,0.48145755265538187,0.8575034293552812,9.504389094831831
